kmer,importance
kmer_9741,0.0072715273
kmer_8792,0.0072708176
kmer_7567,0.007270545
kmer_8451,0.007269037
kmer_7590,0.0072688158
kmer_4711,0.007268764
kmer_9318,0.0072685545
kmer_9862,0.00726725
kmer_8723,0.007266186
kmer_5042,0.0072652525
kmer_4316,0.0072644996
kmer_8818,0.007263776
kmer_4630,0.007263533
kmer_9857,0.0072621903
kmer_4918,0.0072613624
kmer_3463,0.0072598592
kmer_8537,0.0072593787
kmer_4860,0.0072582713
kmer_7619,0.0072578946
kmer_6321,0.0072578797
kmer_4286,0.0072576185
kmer_6346,0.007257194
kmer_1042,0.007256911
kmer_9985,0.0072565745
kmer_8998,0.0072555128
kmer_4126,0.007254829
kmer_6162,0.0072534694
kmer_4794,0.007251347
kmer_5487,0.007249935
kmer_7460,0.007247386
kmer_6345,0.007247311
kmer_5460,0.0072466102
kmer_2460,0.0072458917
kmer_7724,0.0072448733
kmer_7021,0.0072447197
kmer_6656,0.00724407
kmer_8791,0.0072439206
kmer_8712,0.0072435588
kmer_8625,0.007243226
kmer_3698,0.0072425297
kmer_4671,0.007241275
kmer_6644,0.0072405026
kmer_5981,0.007240053
kmer_7245,0.007237837
kmer_9978,0.007236955
kmer_8515,0.0072367494
kmer_3781,0.00723673
kmer_9131,0.0072363643
kmer_4277,0.00723609
kmer_8895,0.0072351857
kmer_7455,0.007232729
kmer_8684,0.0072324285
kmer_9651,0.007232417
kmer_6651,0.007232171
kmer_4756,0.0072317086
kmer_9353,0.0072316593
kmer_9782,0.0072291787
kmer_8677,0.0072267954
kmer_8917,0.007226371
kmer_9545,0.0072261817
kmer_9244,0.0072254883
kmer_3693,0.0072246557
kmer_7433,0.0072232233
kmer_8786,0.0072220974
kmer_1961,0.007222094
kmer_7083,0.0072220303
kmer_4669,0.00722202
kmer_5741,0.0072217546
kmer_3825,0.007220357
kmer_4029,0.007220102
kmer_8531,0.007220082
kmer_9440,0.0072195637
kmer_7133,0.0072171898
kmer_9186,0.0072154175
kmer_6302,0.0072153085
kmer_8902,0.007213733
kmer_8738,0.007213708
kmer_3187,0.007213705
kmer_4667,0.0072116577
kmer_7449,0.007209341
kmer_5491,0.007209004
kmer_3623,0.007208954
kmer_4916,0.0072082425
kmer_5928,0.0072082346
kmer_8513,0.007207507
kmer_7390,0.00720544
kmer_9823,0.0072045336
kmer_5047,0.0072043664
kmer_9347,0.007203857
kmer_4787,0.007203572
kmer_1040,0.0072030714
kmer_8817,0.007201646
kmer_3498,0.0072009126
kmer_7020,0.007200449
kmer_9635,0.0071997577
kmer_8692,0.007198623
