kmer,importance
kmer_6805,0.0066002784
kmer_4131,0.0065977434
kmer_6632,0.006595075
kmer_7995,0.0065937266
kmer_7354,0.0065917308
kmer_9881,0.006591714
kmer_8647,0.0065916604
kmer_8428,0.0065910197
kmer_5143,0.0065902104
kmer_9920,0.0065893224
kmer_8597,0.006588856
kmer_8448,0.0065884055
kmer_6813,0.006587512
kmer_7623,0.0065854345
kmer_6413,0.0065853596
kmer_5064,0.0065850387
kmer_4221,0.0065846764
kmer_9294,0.006584152
kmer_7793,0.00658373
kmer_8103,0.0065829987
kmer_6880,0.006582819
kmer_9304,0.0065810787
kmer_1005,0.006581065
kmer_6446,0.0065777856
kmer_5407,0.0065754303
kmer_6208,0.0065742168
kmer_6891,0.006573861
kmer_8862,0.0065732705
kmer_8104,0.0065730964
kmer_9707,0.0065723993
kmer_7107,0.006572258
kmer_9133,0.006569394
kmer_8295,0.00656915
kmer_4049,0.00656612
kmer_7597,0.0065631378
kmer_8296,0.0065616136
kmer_6884,0.0065606153
kmer_3766,0.0065595657
kmer_5710,0.0065593133
kmer_2548,0.0065581203
kmer_9965,0.0065570176
kmer_6666,0.006556718
kmer_4325,0.0065566204
kmer_7403,0.0065560914
kmer_5692,0.006555524
kmer_7376,0.0065554758
kmer_6812,0.006554498
kmer_8086,0.0065537845
kmer_6960,0.0065531796
kmer_7748,0.006552694
kmer_4161,0.006552314
kmer_8992,0.006550235
kmer_3910,0.006549707
kmer_8438,0.006547448
kmer_9056,0.00654699
kmer_7082,0.0065469733
kmer_9042,0.0065468256
kmer_2439,0.006545177
kmer_5759,0.0065451367
kmer_7587,0.0065445676
kmer_8267,0.0065443083
kmer_9145,0.0065420824
kmer_8936,0.0065415693
kmer_9578,0.006540721
kmer_141,0.006540666
kmer_4879,0.006540608
kmer_8712,0.0065392605
kmer_7790,0.006538921
kmer_6505,0.0065379916
kmer_4896,0.006537565
kmer_5750,0.0065367087
kmer_6806,0.0065366277
kmer_9630,0.0065362337
kmer_7703,0.0065361643
kmer_3698,0.0065357434
kmer_4237,0.006533463
kmer_5413,0.0065326816
kmer_8166,0.006532063
kmer_5081,0.006530426
kmer_8083,0.006529127
kmer_8452,0.006527779
kmer_5007,0.006526563
kmer_5481,0.0065260106
kmer_1932,0.0065254318
kmer_9345,0.0065245884
kmer_12,0.006522509
kmer_7654,0.0065224143
kmer_9891,0.0065201265
kmer_8850,0.006519941
kmer_4999,0.006517718
kmer_9569,0.006517501
kmer_9497,0.0065166433
kmer_7751,0.006515097
kmer_8816,0.0065147476
kmer_8508,0.0065115546
