kmer,importance
kmer_8758,0.010200815
kmer_9665,0.01019977
kmer_8886,0.010197099
kmer_8121,0.01018969
kmer_8461,0.010187091
kmer_9837,0.010185653
kmer_5582,0.010182788
kmer_4746,0.01018262
kmer_8162,0.010182475
kmer_8155,0.01018245
kmer_7034,0.010181056
kmer_5839,0.010180522
kmer_7564,0.010175176
kmer_9667,0.010173675
kmer_6432,0.010173406
kmer_8538,0.010169771
kmer_8782,0.010168344
kmer_9205,0.010167684
kmer_7734,0.010167446
kmer_8925,0.010166018
kmer_4668,0.010165835
kmer_6977,0.010163653
kmer_5221,0.010163341
kmer_9200,0.010162242
kmer_8100,0.010160588
kmer_7604,0.010156913
kmer_8765,0.010156115
kmer_9703,0.0101528745
kmer_8641,0.010152035
kmer_8061,0.0101508815
kmer_8011,0.010150689
kmer_4791,0.010149317
kmer_6557,0.010148696
kmer_5056,0.01014497
kmer_7600,0.010142575
kmer_2296,0.010141309
kmer_8151,0.010140304
kmer_6413,0.010138627
kmer_6312,0.010137887
kmer_7022,0.010136894
kmer_9928,0.01013653
kmer_8828,0.0101364255
kmer_89,0.010135256
kmer_8605,0.010134057
kmer_7162,0.010128474
kmer_9332,0.010126324
kmer_8352,0.010126122
kmer_5703,0.01012601
kmer_9733,0.010124683
kmer_9921,0.010124607
kmer_7762,0.010122903
kmer_7623,0.010122619
kmer_4667,0.010121488
kmer_9824,0.010121336
kmer_6525,0.010120029
kmer_9674,0.010119318
kmer_9016,0.010118414
kmer_8836,0.010115944
kmer_9207,0.0101148905
kmer_329,0.01011243
kmer_5837,0.010111602
kmer_2294,0.010111058
kmer_4201,0.010109892
kmer_8540,0.010106441
kmer_8784,0.010105533
kmer_64,0.010105318
kmer_9431,0.010102547
kmer_9744,0.01010217
kmer_6490,0.010098572
kmer_8831,0.01009785
kmer_6211,0.010097501
kmer_6914,0.010096355
kmer_1266,0.010090355
kmer_4785,0.010089793
kmer_8823,0.010089266
kmer_7739,0.010088176
kmer_7591,0.010087924
kmer_6488,0.010085288
kmer_8467,0.010084957
kmer_9210,0.010080832
kmer_6305,0.0100807315
kmer_7617,0.010080653
kmer_7984,0.010079853
kmer_8332,0.010078196
kmer_4745,0.010078186
kmer_3903,0.010074466
kmer_5838,0.010072136
kmer_5787,0.0100720655
kmer_6182,0.0100711025
kmer_6303,0.010070991
kmer_9310,0.010070392
kmer_6686,0.010070227
kmer_7270,0.010068235
kmer_2691,0.010065601
kmer_4210,0.010065339
kmer_3602,0.010065245
kmer_5836,0.010063978
kmer_9243,0.010063368
kmer_5226,0.010063116
kmer_8856,0.01006151
kmer_9435,0.010061213
kmer_5585,0.010060238
kmer_6222,0.010059319
kmer_3607,0.010059305
kmer_99,0.010058109
kmer_7170,0.010055284
kmer_7596,0.01005488
kmer_2411,0.010053067
kmer_2533,0.010052544
kmer_6028,0.010052534
kmer_4659,0.010052057
kmer_9157,0.010047667
kmer_6216,0.010047296
kmer_8600,0.010047207
kmer_7654,0.0100465715
kmer_7581,0.010043591
kmer_8960,0.010042342
kmer_7615,0.010042208
kmer_4737,0.01004173
kmer_7989,0.0100413365
kmer_6524,0.01004085
kmer_6492,0.010040754
kmer_9931,0.01003853
kmer_5708,0.010035424
kmer_7164,0.01003529
kmer_9669,0.010029299
kmer_5916,0.010026557
kmer_6309,0.010026258
kmer_2111,0.010026219
kmer_9743,0.010024992
kmer_4407,0.010024704
kmer_5122,0.010023729
kmer_8158,0.010023198
kmer_8163,0.010022499
kmer_5113,0.01001846
kmer_9237,0.010015733
kmer_6144,0.010014497
kmer_4763,0.010012516
kmer_2874,0.010012387
kmer_6558,0.010010557
kmer_9732,0.010008771
kmer_8800,0.010006165
kmer_9021,0.010004955
kmer_5842,0.010003809
kmer_7201,0.010002943
kmer_9783,0.010000294
kmer_4395,0.009999563
kmer_5216,0.009998148
kmer_1260,0.009997131
kmer_8445,0.009996511
kmer_5796,0.009994989
kmer_3622,0.009994224
kmer_8804,0.0099931685
kmer_7196,0.00999209
kmer_7608,0.009988957
kmer_6529,0.0099855885
kmer_9831,0.009984611
kmer_8810,0.009983895
kmer_3901,0.009983548
kmer_9663,0.009981713
kmer_9433,0.009979032
kmer_8644,0.00997694
kmer_9881,0.009976724
kmer_8453,0.009970494
kmer_5917,0.0099695735
kmer_5841,0.009969272
kmer_8066,0.009968572
kmer_7904,0.009968527
kmer_4800,0.009967375
kmer_8822,0.009966571
kmer_9078,0.009966391
kmer_4891,0.009962365
kmer_7664,0.009960525
kmer_1256,0.009959824
kmer_8157,0.009956054
kmer_4471,0.009955445
kmer_7733,0.0099552
kmer_3475,0.009954444
kmer_7763,0.009954364
kmer_8353,0.009952774
kmer_8806,0.009952539
kmer_8024,0.009951693
kmer_4481,0.0099503845
kmer_5263,0.009950377
kmer_6419,0.00994991
kmer_7661,0.009949894
kmer_6690,0.009949021
kmer_6214,0.009948889
kmer_1821,0.009948809
kmer_7568,0.00994532
kmer_9575,0.009945279
kmer_7265,0.00994519
kmer_8599,0.00994477
kmer_3621,0.009943782
kmer_8948,0.009943421
kmer_9022,0.009942981
kmer_8860,0.009942584
kmer_5109,0.009941677
