kmer,importance
kmer_9190,0.0064227846
kmer_6749,0.0064216154
kmer_7097,0.0064195767
kmer_9654,0.00641935
kmer_4989,0.006418941
kmer_8140,0.006418678
kmer_7723,0.006418131
kmer_5400,0.0064157224
kmer_3545,0.0064154533
kmer_8223,0.006415252
kmer_5289,0.006414986
kmer_6026,0.006414571
kmer_2322,0.006414009
kmer_2320,0.00641301
kmer_225,0.006412444
kmer_4712,0.0064116023
kmer_8256,0.0064103785
kmer_2143,0.0064087785
kmer_5502,0.0064074774
kmer_8648,0.0064066784
kmer_4856,0.0064066425
kmer_570,0.0064060576
kmer_8550,0.0064051338
kmer_5520,0.006402988
kmer_4312,0.006402873
kmer_1858,0.0064023244
kmer_2060,0.0064019123
kmer_6363,0.006401849
kmer_2363,0.006401343
kmer_9322,0.0064013153
kmer_3833,0.006400796
kmer_9192,0.006399783
kmer_5521,0.0063994625
kmer_5237,0.0063987873
kmer_8354,0.0063975668
kmer_6682,0.0063971356
kmer_2335,0.0063948757
kmer_4555,0.0063944957
kmer_7775,0.006394119
kmer_4744,0.006394097
kmer_5247,0.006393528
kmer_9772,0.0063926526
kmer_39,0.00639252
kmer_7716,0.0063908077
kmer_5844,0.006390465
kmer_9261,0.0063893623
kmer_9319,0.0063878307
kmer_3126,0.006387317
kmer_6178,0.006386315
kmer_343,0.006385744
kmer_9931,0.0063856035
kmer_7991,0.0063844034
kmer_7021,0.0063840374
kmer_1590,0.006383957
kmer_1929,0.0063834274
kmer_3610,0.006381946
kmer_5890,0.0063819387
kmer_8584,0.0063814432
kmer_7975,0.006380526
kmer_7415,0.006378848
kmer_1298,0.006378289
kmer_6786,0.0063774628
kmer_7372,0.0063768225
kmer_4606,0.0063755545
kmer_1102,0.0063733975
kmer_6618,0.0063686147
kmer_6666,0.0063684504
kmer_5503,0.0063671595
kmer_6175,0.006366593
kmer_1473,0.0063664825
kmer_2577,0.0063650277
kmer_9204,0.00636478
kmer_4862,0.006364456
kmer_4852,0.0063637905
kmer_4756,0.006363143
kmer_6632,0.006362629
kmer_9000,0.006361224
kmer_7933,0.006359963
kmer_4127,0.0063595404
kmer_9755,0.006359452
kmer_778,0.0063580847
kmer_7822,0.0063575585
kmer_7338,0.006355453
kmer_9577,0.006353834
kmer_7009,0.00635212
kmer_1810,0.006351965
kmer_4558,0.006351885
kmer_4245,0.0063514453
kmer_7964,0.006350339
kmer_8048,0.0063491776
kmer_8151,0.006348845
kmer_2575,0.006348579
kmer_7714,0.0063468697
kmer_594,0.0063468283
kmer_3009,0.0063466164
kmer_6172,0.00634583
kmer_8362,0.0063449256
kmer_8237,0.006343782
kmer_4746,0.0063423165
kmer_8631,0.0063414006
kmer_6675,0.006340063
kmer_5721,0.0063385987
kmer_5843,0.0063361623
kmer_4125,0.006334963
kmer_7114,0.006334557
kmer_2386,0.00633366
kmer_8353,0.0063326093
kmer_9206,0.0063321157
kmer_3380,0.0063292524
kmer_9899,0.006328814
kmer_1577,0.0063274973
kmer_5530,0.006327381
kmer_9684,0.006327204
kmer_9897,0.006327025
kmer_6620,0.006325715
kmer_5954,0.006323494
kmer_5952,0.0063234745
kmer_9765,0.0063230046
kmer_2883,0.006320053
kmer_7098,0.0063195494
kmer_988,0.0063191755
kmer_7731,0.0063185054
kmer_6006,0.006317589
kmer_8635,0.0063161408
kmer_8623,0.0063127754
kmer_6304,0.006312258
kmer_6748,0.006312126
kmer_7701,0.0063111163
kmer_1844,0.006309129
kmer_6236,0.006308723
kmer_9928,0.0063081835
kmer_6177,0.006308132
kmer_8453,0.0063079474
kmer_7858,0.0063058063
kmer_715,0.0063055595
kmer_5819,0.006305177
kmer_9706,0.0063048783
kmer_5242,0.0063040787
kmer_7463,0.0063005984
kmer_7824,0.0063003274
kmer_4005,0.00629928
kmer_9332,0.0062992694
kmer_5278,0.0062991893
kmer_8633,0.006298547
kmer_4542,0.006298282
kmer_6411,0.006298023
kmer_4168,0.0062941546
kmer_9011,0.00629393
kmer_8080,0.0062936815
kmer_9484,0.006293587
kmer_8228,0.00629332
kmer_9540,0.00629301
kmer_7987,0.006292776
kmer_3606,0.006292582
kmer_44,0.0062923436
kmer_5710,0.0062920786
kmer_1104,0.006291542
kmer_7634,0.006289338
kmer_1256,0.0062885233
kmer_3002,0.006287244
kmer_5157,0.006284642
kmer_3555,0.0062838546
kmer_2329,0.0062831673
kmer_2147,0.0062831566
kmer_8583,0.0062806993
kmer_6153,0.0062789433
kmer_8948,0.0062783505
kmer_4154,0.0062776483
kmer_8109,0.0062760348
kmer_7639,0.0062750694
kmer_8510,0.0062742415
kmer_9260,0.0062733814
kmer_8649,0.006273379
kmer_6428,0.0062728203
kmer_9171,0.0062723956
kmer_9377,0.0062720976
kmer_8951,0.0062709823
kmer_7182,0.006270588
kmer_7935,0.006268773
kmer_5327,0.00626839
kmer_4444,0.0062679537
kmer_9193,0.006267625
kmer_5941,0.0062669097
kmer_7471,0.006266276
kmer_8445,0.006265939
kmer_6653,0.0062648775
kmer_1308,0.006263708
kmer_5646,0.006263281
kmer_7715,0.006263084
kmer_4584,0.0062629697
kmer_9572,0.006262914
kmer_8381,0.006262543
kmer_6149,0.006262438
kmer_3383,0.0062621194
kmer_7768,0.006262053
kmer_5493,0.006261281
kmer_8439,0.006261
kmer_7785,0.0062609464
kmer_9156,0.006260921
kmer_5229,0.006260521
kmer_9753,0.0062566693
kmer_4509,0.0062565454
kmer_6034,0.0062556798
kmer_2724,0.0062552304
kmer_4551,0.006254853
kmer_7519,0.006254676
kmer_3013,0.006253717
kmer_8027,0.006252055
kmer_8848,0.006251819
kmer_9718,0.006250162
kmer_9496,0.0062495843
kmer_5580,0.0062492783
kmer_8090,0.006248929
kmer_9068,0.0062489123
kmer_2306,0.006248253
kmer_7978,0.006247887
kmer_7717,0.0062470767
kmer_8315,0.006245856
kmer_5722,0.0062453076
kmer_3543,0.0062450627
kmer_7897,0.0062450008
kmer_9292,0.0062413076
kmer_9154,0.006239873
kmer_1106,0.0062385714
kmer_6360,0.00623758
kmer_3728,0.0062372894
kmer_51,0.0062370524
kmer_6016,0.0062350756
kmer_7504,0.0062349066
kmer_7843,0.006233911
kmer_2140,0.006232725
kmer_6882,0.00623263
kmer_466,0.00623224
kmer_9816,0.00623176
kmer_7778,0.0062315273
kmer_7612,0.006230097
kmer_7184,0.006229662
kmer_82,0.006226677
kmer_1874,0.0062266053
kmer_5268,0.0062265983
kmer_4860,0.006226271
kmer_587,0.006223393
kmer_2963,0.0062222704
kmer_9470,0.006220199
kmer_8146,0.0062200124
kmer_1848,0.0062199845
kmer_8760,0.006218582
kmer_9144,0.0062179836
kmer_4512,0.0062162853
kmer_8246,0.006216186
kmer_9987,0.0062148413
kmer_6303,0.006214774
kmer_7697,0.0062144552
kmer_935,0.006213871
kmer_6624,0.0062124436
kmer_8745,0.006212323
kmer_3700,0.006212269
kmer_9134,0.006211993
kmer_9415,0.0062115933
kmer_8457,0.006210701
kmer_7650,0.0062089367
kmer_8148,0.0062086945
kmer_4239,0.0062081036
kmer_9240,0.0062067704
kmer_610,0.0062065725
kmer_8747,0.006206162
kmer_9775,0.006204773
kmer_5815,0.006203835
kmer_6821,0.0062032673
kmer_1108,0.0062031606
kmer_8692,0.0062023075
