feature,importance,shap_mean,shap_std
gene_crrB_L94M,0.0,0.0,0.0
gene_crcB,0.0,0.0,0.0
gene_cmlA5,0.0,0.0,0.0
gene_cmlA4,0.0,0.0,0.0
gene_dfrA5,0.0,0.0,0.0
gene_dfrA51,0.0,0.0,0.0
gene_dfrA7,0.0,0.0,0.0
gene_erm(B),0.0,0.0,0.0
gene_fosA5,0.0,0.0,0.0
gene_fosA3,0.0,0.0,0.0
gene_fosA10,0.0,0.0,0.0
gene_fosA,0.0,0.0,0.0
gene_floR2,0.0,0.0,0.0
gene_floR,0.0,0.0,0.0
gene_erm(A),0.0,0.0,0.0
gene_aac(3)-IId,0.0,0.0,0.0
gene_erm(42),0.0,0.0,0.0
gene_ere(B),0.0,0.0,0.0
gene_ere(A),0.0,0.0,0.0
gene_emrE,0.0,0.0,0.0
gene_emrD,0.0,0.0,0.0
gene_dfrB3,0.0,0.0,0.0
gene_cmlA1,0.0,0.0,0.0
gene_cmlA,0.0,0.0,0.0
gene_clbN,0.0,0.0,0.0
gene_blaSHV-205,0.0,0.0,0.0
gene_blaSHV-33,0.0,0.0,0.0
gene_blaSHV-31,0.0,0.0,0.0
gene_blaSHV-30,0.0,0.0,0.0
gene_blaSHV-27,0.0,0.0,0.0
gene_blaSHV-26,0.0,0.0,0.0
gene_blaSHV-217,0.0,0.0,0.0
gene_blaSHV-2,0.0,0.0,0.0
gene_blaSHV-42,0.0,0.0,0.0
gene_blaSHV-187,0.0,0.0,0.0
gene_blaSHV-168,0.0,0.0,0.0
gene_blaSHV-133,0.0,0.0,0.0
gene_blaSHV-11,0.0,0.0,0.0
gene_blaSHV-1,0.0,0.0,0.0
gene_blaSHV,0.0,0.0,0.0
gene_blaSHV-36,0.0,0.0,0.0
gene_blaSHV-5,0.0,0.0,0.0
gene_clbB,0.0,0.0,0.0
gene_blaVIM-1,0.0,0.0,0.0
gene_catB11,0.0,0.0,0.0
gene_catA2,0.0,0.0,0.0
gene_cadD,0.0,0.0,0.0
gene_blaZ,0.0,0.0,0.0
gene_blaVIM-4,0.0,0.0,0.0
gene_blaVIM-2,0.0,0.0,0.0
gene_blaTEM-206,0.0,0.0,0.0
gene_blaSHV-63,0.0,0.0,0.0
gene_blaSHV_C-112A,0.0,0.0,0.0
gene_blaSHV-80,0.0,0.0,0.0
gene_blaSHV-77,0.0,0.0,0.0
gene_blaSHV-76,0.0,0.0,0.0
gene_blaSHV-71,0.0,0.0,0.0
gene_blaSHV-7,0.0,0.0,0.0
gene_dfrA8,0.0,0.0,0.0
