feature,importance,shap_mean,shap_std
gene_aph(3')-VI,0.0,0.0,0.0
gene_aph(3')-VIb,0.0,0.0,0.0
gene_aph(4)-Ia,0.0,0.0,0.0
gene_aphA16,0.0,0.0,0.0
gene_ariR,0.0,0.0,0.0
gene_armA,0.0,0.0,0.0
gene_arr,0.0,0.0,0.0
gene_arr-2,0.0,0.0,0.0
gene_arsA,0.0,0.0,0.0
gene_arsB,0.0,0.0,0.0
gene_arsD,0.0,0.0,0.0
gene_blaSHV-110,0.0,0.0,0.0
gene_blaSHV-133,0.0,0.0,0.0
gene_hsp20,0.0,0.0,0.0
gene_crcB,0.0,0.0,0.0
gene_dfrA14,0.0,0.0,0.0
gene_dfrA15,0.0,0.0,0.0
gene_dfrA16,0.0,0.0,0.0
gene_dfrA17,0.0,0.0,0.0
gene_dfrA19,0.0,0.0,0.0
gene_dfrA21,0.0,0.0,0.0
gene_dfrA22,0.0,0.0,0.0
gene_dfrA27,0.0,0.0,0.0
gene_dfrA30,0.0,0.0,0.0
gene_dfrA5,0.0,0.0,0.0
gene_dfrA51,0.0,0.0,0.0
gene_dfrA7,0.0,0.0,0.0
gene_dfrB3,0.0,0.0,0.0
gene_emrD,0.0,0.0,0.0
gene_ere(A),0.0,0.0,0.0
gene_ere(B),0.0,0.0,0.0
gene_erm(B),0.0,0.0,0.0
gene_floR,0.0,0.0,0.0
gene_fosA,0.0,0.0,0.0
gene_fosA10,0.0,0.0,0.0
gene_fosA5,0.0,0.0,0.0
gene_gyrA_D87A,0.0,0.0,0.0
gene_gyrA_D87G,0.0,0.0,0.0
gene_gyrA_D87N,0.0,0.0,0.0
gene_gyrA_D87Y,0.0,0.0,0.0
gene_gyrA_S83Y,0.0,0.0,0.0
gene_hdeD-GI,0.0,0.0,0.0
gene_dfrA1,0.0,0.0,0.0
gene_cmlA5,0.0,0.0,0.0
gene_blaSHV-14,0.0,0.0,0.0
gene_cmlA4,0.0,0.0,0.0
gene_blaSHV-187,0.0,0.0,0.0
gene_blaSHV-2,0.0,0.0,0.0
gene_blaSHV-205,0.0,0.0,0.0
gene_blaSHV-236,0.0,0.0,0.0
gene_blaSHV-26,0.0,0.0,0.0
gene_blaSHV-28,0.0,0.0,0.0
gene_blaSHV-31,0.0,0.0,0.0
gene_blaSHV-33,0.0,0.0,0.0
gene_blaSHV-36,0.0,0.0,0.0
gene_blaSHV-37,0.0,0.0,0.0
gene_blaSHV-38,0.0,0.0,0.0
gene_blaSHV-5,0.0,0.0,0.0
gene_blaSHV-52,0.0,0.0,0.0
gene_blaSHV-60,0.0,0.0,0.0
gene_blaSHV-62,0.0,0.0,0.0
gene_blaSHV-71,0.0,0.0,0.0
gene_blaSHV-75,0.0,0.0,0.0
gene_blaSHV-76,0.0,0.0,0.0
gene_blaSHV-77,0.0,0.0,0.0
gene_blaSHV_C-112A,0.0,0.0,0.0
gene_ble,0.0,0.0,0.0
gene_catA1,0.0,0.0,0.0
gene_catB,0.0,0.0,0.0
gene_catB11,0.0,0.0,0.0
gene_clbN,0.0,0.0,0.0
gene_cmlA,0.0,0.0,0.0
gene_cmlA1,0.0,0.0,0.0
gene_yfdX2,0.0,0.0,0.0
